public_product_path,canonical_url,expansion,product_label,version,rarity,edition,language,finish,printed_code,from_status,from_cents,from_eur,available_count,discovered_via,detail_attempted,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/2016-MegaTins/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2016-MegaTins/Blue-Eyes-White-Dragon,2016 MegaTins,Blue Eyes White Dragon,,,,,,,priced,499,4.99,265,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/2017-MegaTins/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2017-MegaTins/Blue-Eyes-White-Dragon,2017 MegaTins,Blue Eyes White Dragon,,,,,,,priced,60,0.60,1026,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/2022-Ghosts-From-the-Past/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2022-Ghosts-From-the-Past/Blue-Eyes-White-Dragon,2022 Ghosts From the Past,Blue Eyes White Dragon,,,,,,,priced,18990,189.90,92,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/2022-Tin-of-the-Pharaohs-Gods/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2022-Tin-of-the-Pharaohs-Gods/Blue-Eyes-White-Dragon,2022 Tin of the Pharaohs Gods,Blue Eyes White Dragon,,,,,,,priced,389,3.89,547,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Duelist-Box/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Duelist-Box/Blue-Eyes-White-Dragon,20th Anniversary Duelist Box,Blue Eyes White Dragon,,,,,,,priced,9749,97.49,14,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V1-Ultra-Rare,20th Anniversary Legend Collection,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,,,,,priced,200,2.00,31,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V2-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V2-Secret-Rare,20th Anniversary Legend Collection,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,,,,,priced,999,9.99,14,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Pack-1st-Wave/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Pack-1st-Wave/Blue-Eyes-White-Dragon,20th Anniversary Pack 1st Wave,Blue Eyes White Dragon,,,,,,,priced,6800,68.00,25,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Secret-Rare-Special-Pack/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Secret-Rare-Special-Pack/Blue-Eyes-White-Dragon,20th Secret Rare Special Pack,Blue Eyes White Dragon,,Secret Rare,,,,,priced,19000,190.00,7,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Tin-Dueling-Mirrors/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Tin-Dueling-Mirrors/Blue-Eyes-White-Dragon,25th Anniversary Tin Dueling Mirrors,Blue Eyes White Dragon,,,,,,,priced,1799,17.99,804,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ukiyo-e-Style-Limited-OCG-Card-Set/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ukiyo-e-Style-Limited-OCG-Card-Set/Blue-Eyes-White-Dragon,25th Anniversary Ukiyo e Style Limited OCG Card Set,Blue Eyes White Dragon,,,,,,,priced,26000,260.00,24,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V1-Ultra-Rare,25th Anniversary Ultimate Kaiba Set,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,,,,,priced,495,4.95,18,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V2-Quarter-Century-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V2-Quarter-Century-Secret-Rare,25th Anniversary Ultimate Kaiba Set,Blue Eyes White Dragon V2 Quarter Century Secret Rare,V2,Quarter Century Secret Rare,,,,,priced,27900,279.00,13,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V3-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V3-Secret-Rare,25th Anniversary Ultimate Kaiba Set,Blue Eyes White Dragon V3 Secret Rare,V3,Secret Rare,,,,,priced,11994,119.94,22,versions|search,no,,,,2026-08-04
