public_product_path,canonical_url,enrichment_status,attempts,expansion,product_label,version,rarity,edition,printed_code,from_status,from_cents,from_eur,available_count,price_trend_cents,price_trend_eur,avg_1d_cents,avg_1d_eur,avg_7d_cents,avg_7d_eur,avg_30d_cents,avg_30d_eur,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/2016-MegaTins/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2016-MegaTins/Blue-Eyes-White-Dragon,pending,0,2016 MegaTins,,,,,,priced,499,4.99,265,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/2017-MegaTins/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2017-MegaTins/Blue-Eyes-White-Dragon,pending,0,2017 MegaTins,,,,,,priced,60,0.60,1026,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/2022-Ghosts-From-the-Past/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2022-Ghosts-From-the-Past/Blue-Eyes-White-Dragon,pending,0,2022 Ghosts From the Past,,,,,,priced,18990,189.90,92,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/2022-Tin-of-the-Pharaohs-Gods/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/2022-Tin-of-the-Pharaohs-Gods/Blue-Eyes-White-Dragon,pending,0,2022 Tin of the Pharaohs Gods,,,,,,priced,389,3.89,547,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Duelist-Box/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Duelist-Box/Blue-Eyes-White-Dragon,pending,0,20th Anniversary Duelist Box,,,,,,priced,9749,97.49,14,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V1-Ultra-Rare,pending,0,20th Anniversary Legend Collection,,V1,Ultra Rare,,,priced,200,2.00,31,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V2-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V2-Secret-Rare,pending,0,20th Anniversary Legend Collection,,V2,Secret Rare,,,priced,999,9.99,14,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Anniversary-Pack-1st-Wave/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Anniversary-Pack-1st-Wave/Blue-Eyes-White-Dragon,pending,0,20th Anniversary Pack 1st Wave,,,,,,priced,6800,68.00,25,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/20th-Secret-Rare-Special-Pack/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/20th-Secret-Rare-Special-Pack/Blue-Eyes-White-Dragon,pending,0,20th Secret Rare Special Pack,,,Secret Rare,,,priced,19000,190.00,7,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Tin-Dueling-Mirrors/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Tin-Dueling-Mirrors/Blue-Eyes-White-Dragon,pending,0,25th Anniversary Tin Dueling Mirrors,,,,,,priced,1799,17.99,804,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ukiyo-e-Style-Limited-OCG-Card-Set/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ukiyo-e-Style-Limited-OCG-Card-Set/Blue-Eyes-White-Dragon,pending,0,25th Anniversary Ukiyo e Style Limited OCG Card Set,,,,,,priced,26000,260.00,24,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V1-Ultra-Rare,pending,0,25th Anniversary Ultimate Kaiba Set,,V1,Ultra Rare,,,priced,495,4.95,18,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V2-Quarter-Century-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V2-Quarter-Century-Secret-Rare,pending,0,25th Anniversary Ultimate Kaiba Set,,V2,Quarter Century Secret Rare,,,priced,27900,279.00,13,,,,,,,,,no,,,2026-08-04
