expansion,product_label,version,rarity,from_eur,from_cents,available_count,public_product_path,source_date
2016 MegaTins,Blue Eyes White Dragon,,,4.99,499,265,/en/YuGiOh/Products/Singles/2016-MegaTins/Blue-Eyes-White-Dragon,2026-08-04
2017 MegaTins,Blue Eyes White Dragon,,,0.60,60,1026,/en/YuGiOh/Products/Singles/2017-MegaTins/Blue-Eyes-White-Dragon,2026-08-04
2022 Ghosts From the Past,Blue Eyes White Dragon,,,189.90,18990,92,/en/YuGiOh/Products/Singles/2022-Ghosts-From-the-Past/Blue-Eyes-White-Dragon,2026-08-04
2022 Tin of the Pharaohs Gods,Blue Eyes White Dragon,,,3.89,389,547,/en/YuGiOh/Products/Singles/2022-Tin-of-the-Pharaohs-Gods/Blue-Eyes-White-Dragon,2026-08-04
20th Anniversary Duelist Box,Blue Eyes White Dragon,,,97.49,9749,14,/en/YuGiOh/Products/Singles/20th-Anniversary-Duelist-Box/Blue-Eyes-White-Dragon,2026-08-04
20th Anniversary Legend Collection,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,2.00,200,31,/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
20th Anniversary Legend Collection,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,9.99,999,14,/en/YuGiOh/Products/Singles/20th-Anniversary-Legend-Collection/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
20th Anniversary Pack 1st Wave,Blue Eyes White Dragon,,,68.00,6800,25,/en/YuGiOh/Products/Singles/20th-Anniversary-Pack-1st-Wave/Blue-Eyes-White-Dragon,2026-08-04
20th Secret Rare Special Pack,Blue Eyes White Dragon,,Secret Rare,190.00,19000,7,/en/YuGiOh/Products/Singles/20th-Secret-Rare-Special-Pack/Blue-Eyes-White-Dragon,2026-08-04
25th Anniversary Tin Dueling Mirrors,Blue Eyes White Dragon,,,17.99,1799,804,/en/YuGiOh/Products/Singles/25th-Anniversary-Tin-Dueling-Mirrors/Blue-Eyes-White-Dragon,2026-08-04
25th Anniversary Ukiyo e Style Limited OCG Card Set,Blue Eyes White Dragon,,,260.00,26000,24,/en/YuGiOh/Products/Singles/25th-Anniversary-Ukiyo-e-Style-Limited-OCG-Card-Set/Blue-Eyes-White-Dragon,2026-08-04
25th Anniversary Ultimate Kaiba Set,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,4.95,495,18,/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
25th Anniversary Ultimate Kaiba Set,Blue Eyes White Dragon V2 Quarter Century Secret Rare,V2,Quarter Century Secret Rare,279.00,27900,13,/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V2-Quarter-Century-Secret-Rare,2026-08-04
25th Anniversary Ultimate Kaiba Set,Blue Eyes White Dragon V3 Secret Rare,V3,Secret Rare,119.94,11994,22,/en/YuGiOh/Products/Singles/25th-Anniversary-Ultimate-Kaiba-Set/Blue-Eyes-White-Dragon-V3-Secret-Rare,2026-08-04
7 Eleven Collaboration Campaign,Blue Eyes White Dragon,,,11.95,1195,38,/en/YuGiOh/Products/Singles/7-Eleven-Collaboration-Campaign/Blue-Eyes-White-Dragon,2026-08-04
Animation Chronicle 2022,Blue Eyes White Dragon,,,185.00,18500,16,/en/YuGiOh/Products/Singles/Animation-Chronicle-2022/Blue-Eyes-White-Dragon,2026-08-04
Anniversary Pack,Blue Eyes White Dragon,,,4.90,490,203,/en/YuGiOh/Products/Singles/Anniversary-Pack/Blue-Eyes-White-Dragon,2026-08-04
Banzai Promos,Blue Eyes White Dragon,,,0.05,5,217,/en/YuGiOh/Products/Singles/Banzai-Promos/Blue-Eyes-White-Dragon,2026-08-04
Battles of Legend Monster Mayhem,Blue Eyes White Dragon V1 Secret Rare,V1,Secret Rare,5.00,500,518,/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V1-Secret-Rare,2026-08-04
Battles of Legend Monster Mayhem,Blue Eyes White Dragon V2 Starlight Rare,V2,Starlight Rare,69.99,6999,54,/en/YuGiOh/Products/Singles/Battles-of-Legend-Monster-Mayhem/Blue-Eyes-White-Dragon-V2-Starlight-Rare,2026-08-04
Beginners Edition 1,Blue Eyes White Dragon,,,9.90,990,5,/en/YuGiOh/Products/Singles/Beginners-Edition-1/Blue-Eyes-White-Dragon,2026-08-04
Beginners Edition 1 2011,Blue Eyes White Dragon,,,13.95,1395,4,/en/YuGiOh/Products/Singles/Beginners-Edition-1-2011/Blue-Eyes-White-Dragon,2026-08-04
Booster Pack Tin,Blue Eyes White Dragon V 1,V1,,12.99,1299,99,/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-1,2026-08-04
Booster Pack Tin,Blue Eyes White Dragon V 2,V2,,3.85,385,149,/en/YuGiOh/Products/Singles/Booster-Pack-Tin/Blue-Eyes-White-Dragon-V-2,2026-08-04
Dark Beginning 1,Blue Eyes White Dragon,,,0.79,79,146,/en/YuGiOh/Products/Singles/Dark-Beginning-1/Blue-Eyes-White-Dragon,2026-08-04
Dark Duel Stories,Blue Eyes White Dragon,,,290.00,29000,23,/en/YuGiOh/Products/Singles/Dark-Duel-Stories/Blue-Eyes-White-Dragon,2026-08-04
Dark Legends,Blue Eyes White Dragon,,,4.00,400,29,/en/YuGiOh/Products/Singles/Dark-Legends/Blue-Eyes-White-Dragon,2026-08-04
Duel Overload,Blue Eyes White Dragon,,,0.35,35,864,/en/YuGiOh/Products/Singles/Duel-Overload/Blue-Eyes-White-Dragon,2026-08-04
Duel Royale Deck Set EX,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,19.99,1999,3,/en/YuGiOh/Products/Singles/Duel-Royale-Deck-Set-EX/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Duel Terminal 1,Blue Eyes White Dragon,,,3.00,300,65,/en/YuGiOh/Products/Singles/Duel-Terminal-1/Blue-Eyes-White-Dragon,2026-08-04
Duel Terminal Preview,Blue Eyes White Dragon,,,1999.99,199999,2,/en/YuGiOh/Products/Singles/Duel-Terminal-Preview/Blue-Eyes-White-Dragon,2026-08-04
Duelist League 09,Blue Eyes White Dragon V1 Rare,V1,Rare,9.99,999,118,/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V1-Rare,2026-08-04
Duelist League 09,Blue Eyes White Dragon V2 Rare,V2,Rare,10.00,1000,101,/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V2-Rare,2026-08-04
Duelist League 09,Blue Eyes White Dragon V3 Rare,V3,Rare,6.00,600,130,/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V3-Rare,2026-08-04
Duelist League 09,Blue Eyes White Dragon V4 Rare,V4,Rare,10.00,1000,108,/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V4-Rare,2026-08-04
Duelist League Series 1,Blue Eyes White Dragon,,,1.00,100,158,/en/YuGiOh/Products/Singles/Duelist-League-Series-1/Blue-Eyes-White-Dragon,2026-08-04
Duelist Legacy Volume 2,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,5.00,500,16,/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Duelist Legacy Volume 2,Blue Eyes White Dragon V2 Ultra Parallel Rare,V2,Rare,12.00,1200,9,/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V2-Ultra-Parallel-Rare,2026-08-04
Duelist of the Roses,Blue Eyes White Dragon,,,77.11,7711,51,/en/YuGiOh/Products/Singles/Duelist-of-the-Roses/Blue-Eyes-White-Dragon,2026-08-04
Duelist Pack Battle City,Blue Eyes White Dragon,,,0.70,70,404,/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City/Blue-Eyes-White-Dragon,2026-08-04
Duelist Pack Battle City Japanese,Blue Eyes White Dragon,,,4.99,499,7,/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City-Japanese/Blue-Eyes-White-Dragon,2026-08-04
Duelist Pack Kaiba,Blue Eyes White Dragon V1 Super Rare,V1,Super Rare,1.00,100,202,/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V1-Super-Rare,2026-08-04
Duelist Pack Kaiba,Blue Eyes White Dragon V2 Super Rare,V2,Super Rare,12.50,1250,101,/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V2-Super-Rare,2026-08-04
Duelist Pack Legend Duelist 3,Blue Eyes White Dragon,,,0.70,70,28,/en/YuGiOh/Products/Singles/Duelist-Pack-Legend-Duelist-3/Blue-Eyes-White-Dragon,2026-08-04
Duelist Road Piece of Memory Side Yami Yugi,Blue Eyes White Dragon V1 Parallel Rare,V1,Rare,6.00,600,23,/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V1-Parallel-Rare,2026-08-04
Duelist Road Piece of Memory Side Yami Yugi,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,17.50,1750,37,/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V2-Secret-Rare,2026-08-04
Duelist Saga,Blue Eyes White Dragon,,,6.00,600,372,/en/YuGiOh/Products/Singles/Duelist-Saga/Blue-Eyes-White-Dragon,2026-08-04
EX R Starter Box,Blue Eyes White Dragon,,,2.90,290,52,/en/YuGiOh/Products/Singles/EX-R-Starter-Box/Blue-Eyes-White-Dragon,2026-08-04
EX Starter Box,Blue Eyes White Dragon,,,2.45,245,104,/en/YuGiOh/Products/Singles/EX-Starter-Box/Blue-Eyes-White-Dragon,2026-08-04
Forbidden Legacy 1,Blue Eyes White Dragon,,,6.99,699,95,/en/YuGiOh/Products/Singles/Forbidden-Legacy-1/Blue-Eyes-White-Dragon,2026-08-04
Gold Series 5 Haunted Mine,Blue Eyes White Dragon,,,30.00,3000,237,/en/YuGiOh/Products/Singles/Gold-Series-5-Haunted-Mine/Blue-Eyes-White-Dragon,2026-08-04
Hidden Arsenal Chapter 1,Blue Eyes White Dragon,,,0.08,8,2391,/en/YuGiOh/Products/Singles/Hidden-Arsenal-Chapter-1/Blue-Eyes-White-Dragon,2026-08-04
History Archive Collection,Blue Eyes White Dragon,,,19.90,1990,19,/en/YuGiOh/Products/Singles/History-Archive-Collection/Blue-Eyes-White-Dragon,2026-08-04
Jump Ryu Vol08 Promotional Card,Blue Eyes White Dragon,,,147.00,14700,17,/en/YuGiOh/Products/Singles/Jump-Ryu-Vol08-Promotional-Card/Blue-Eyes-White-Dragon,2026-08-04
Kaibas Collector Box,Blue Eyes White Dragon V 1,V1,,0.60,60,413,/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-1,2026-08-04
Kaibas Collector Box,Blue Eyes White Dragon V 2,V2,,40.00,4000,6,/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-2,2026-08-04
Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,4.56,456,248,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,9.99,999,91,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V3 Secret Rare,V3,Secret Rare,50.00,5000,3,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V3-Secret-Rare,2026-08-04
Legend of Blue Eyes White Dragon,Blue Eyes White Dragon V4 Ultra Rare,V4,Ultra Rare,37.98,3798,7,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon/Blue-Eyes-White-Dragon-V4-Ultra-Rare,2026-08-04
Legend of Blue Eyes White Dragon 25th Anniversary Edition,Blue Eyes White Dragon,,,21.90,2190,172,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-25th-Anniversary-Edition/Blue-Eyes-White-Dragon,2026-08-04
Legend of Blue Eyes White Dragon Japanese,Blue Eyes White Dragon,,,19.99,1999,41,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Japanese/Blue-Eyes-White-Dragon,2026-08-04
Legend of Blue Eyes White Dragon Korean,Blue Eyes White Dragon,,,8.60,860,40,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-Korean/Blue-Eyes-White-Dragon,2026-08-04
Legend of Blue Eyes White Dragon LDB,Blue Eyes White Dragon,,,50.00,5000,21,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDB/Blue-Eyes-White-Dragon,2026-08-04
Legend of Blue Eyes White Dragon LDD,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,12.00,1200,134,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V1-Ultra-Rare,2026-08-04
Legend of Blue Eyes White Dragon LDD,Blue Eyes White Dragon V2 Ultra Rare,V2,Ultra Rare,9.00,900,107,/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-LDD/Blue-Eyes-White-Dragon-V2-Ultra-Rare,2026-08-04
Legendary Collection,Blue Eyes White Dragon,,,0.04,4,760,/en/YuGiOh/Products/Singles/Legendary-Collection/Blue-Eyes-White-Dragon,2026-08-04
