idProduct,idExpansion,idMetacard,dateAdded,category,name,avg,low,trend,avg1,avg7,avg30,avg_foil,low_foil,trend_foil,avg1_foil,avg7_foil,avg30_foil,fields_present,fields_absent,products_created_at,price_guide_created_at,source_date
102212,1090,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,5.78,0.05,6.41,0.41,9.02,8.47,,,5.12,7.89,3.6,5.54,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102241,1064,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,10,9.99,38.02,10,133.06,166.94,,,17.38,15.49,20.49,17.16,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102242,1077,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,26.1,3.85,19.8,39.95,25.15,25.33,,,8.37,8,8.86,7.64,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102243,1014,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,2.98,0.79,6.36,0.95,7.98,9.16,,,3.56,2.87,3.94,3.78,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102244,1039,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,1249.98,290,994.38,1250,1081.99,1314.96,,,421.64,460,289.28,205.81,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102245,1094,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,20.3,6.99,14.22,36.9,21.45,22.14,,,12.06,9.9,10.27,9.44,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102246,1066,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,13.61,1.54,6.26,4.25,14.41,16.12,,,11.44,13.99,10.5,9.77,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102247,1062,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,25.84,1,27.99,14.99,40,33.81,,,4.65,7.37,3.92,5.18,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102248,1055,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,6.01,0.5,0.02,13.6,5.95,22.08,,,1.96,0.92,4.83,5.27,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
102249,1081,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,1.2,0.05,1.2,2.26,1.24,1.54,,,0.18,0.45,0.19,0.3,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
109362,1171,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,32.09,4.9,37.75,145,27.45,27.75,,,18.26,19.99,20.6,31.88,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
109670,1176,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,49.37,5.99,50.55,36,31.14,60.19,,,14.86,14.37,17.38,15.99,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
110695,1191,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,18.89,1,10.18,4.5,17.82,12.29,,,2.39,2.43,2.77,3.13,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
244366,1225,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,0.35,0.04,0.3,0.12,0.24,0.36,,,0.55,0.09,0.17,0.48,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
244495,1236,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,59.45,4,98.94,58.99,71.3,51.62,,,12.16,19.9,7.71,4.24,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
253003,1348,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,0.75,0.02,0.6,0.1,0.68,0.66,,,0.3,0.05,0.37,0.3,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
